player_name,hand,height_cm,wingspan_cm,nationality
Herbert Wiltschnig,R,185.0,,AUT
Hernan Gumy,R,188.0,,ARG
Hicham Arazi,L,175.0,,MAR
Holger Rune,R,188.0,188.0,DEN
Horacio De La Pena,L,180.0,,ARG
Horacio Zeballos,L,188.0,,ARG
Horst Skoff,R,175.0,,AUT
Hubert Hurkacz,R,196.0,196.0,POL
Hugo Armando,R,183.0,,USA
Hugo Dellien,R,180.0,,BOL
Hugo Gaston,L,173.0,,FRA
Hugo Grenier,R,196.0,,FRA
Hyeon Chung,R,188.0,,KOR
Hyung Taik Lee,R,180.0,,KOR
Ian Aler,R,,,USA
Igor Andreev,R,185.0,,RUS
Igor Kunitsyn,R,180.0,,RUS
Igor Sijsling,R,191.0,,NED
Illya Marchenko,R,185.0,,UKR
Ilya Ivashka,R,193.0,,BLR
Inigo Cervantes Huegun,R,180.0,,ESP
Irakli Labadze,L,188.0,,GEO
Ivan Dodig,R,183.0,,CRO
Ivan Gakhov,L,191.0,,RUS
Ivan Lendl,R,188.0,188.0,USA
Ivan Ljubicic,R,193.0,,CRO
Ivan Navarro,R,183.0,,ESP
Ivo Heuberger,R,188.0,,SUI
Ivo Karlovic,R,208.0,211.0,CRO
Ivo Minar,R,183.0,,CZE
J J Wolf,R,183.0,,USA
Jacco Eltingh,R,188.0,,NED
Jack Draper,L,193.0,,GBR
Jack Sock,R,191.0,193.0,USA
Jacobo Diaz,R,173.0,,ESP
Jaime Oncins,R,196.0,,BRA
Jaime Yzaga,R,170.0,,PER
Jakob Hlasek,R,188.0,,SUI
Jakub Mensik,R,193.0,,CZE
James Blake,R,185.0,180.0,USA
James Duckworth,R,183.0,,AUS
James Sekulov,R,180.0,,AUS
James Ward,R,190.0,,GBR
Jamie Delgado,R,178.0,,GBR
Jamie Morgan,R,185.0,,AUS
Jan Apell,L,183.0,,SWE
Jan Boruszewski,R,,,GER
Jan Frode Andersen,L,190.0,,NOR
Jan Gunnarsson,R,185.0,,SWE
Jan Hajek,R,180.0,,CZE
Jan Hernych,R,190.0,,CZE
Jan Kroslak,R,188.0,,SVK
Jan Lennard Struff,R,193.0,,GER
Jan Michael Gambill,R,190.0,,USA
Jan Siemerink,L,183.0,,NED
Jan Vacek,R,198.0,,CZE
Janko Tipsarevic,R,180.0,,SRB
Jannik Sinner,R,191.0,188.0,ITA
Jared Donaldson,R,188.0,,USA
Jared Palmer,R,190.0,,USA
Jarkko Nieminen,L,185.0,,FIN
Jason Kubler,R,178.0,,AUS
Jason Stoltenberg,R,185.0,,AUS
Jaume Munar,R,183.0,,ESP
Javier Frana,L,185.0,,ARG
Javier Marti,R,,,ESP
Javier Sanchez,R,178.0,,ESP
Jay Berger,R,180.0,,USA
Jean Philippe Fleurian,R,185.0,,FRA
Jean Rene Lisnard,R,173.0,,MON
Jeff Morrison,R,185.0,,USA
Jeff Salzenstein,L,185.0,,USA
Jeff Tarango,L,180.0,,USA
Jens Knippschild,R,190.0,,GER
Jens Woehrmann,R,180.0,,GER
Jenson Brooksby,R,188.0,,USA
Jeremy Bates,R,180.0,,GBR
Jeremy Chardy,R,188.0,,FRA
Jerome Golmard,L,188.0,,FRA
Jerzy Janowicz,R,203.0,,POL
Jesse Huta Galung,R,188.0,,NED
Jesse Levine,L,175.0,,CAN
Jim Courier,R,185.0,183.0,USA
Jim Grabb,R,193.0,,USA
Jim Pugh,R,193.0,,USA
Jimmy Arias,R,175.0,,USA
Jimmy Brown,R,180.0,,USA
Jimmy Connors,L,178.0,,USA
Jimmy Wang,R,178.0,,TPE
Jiri Lehecka,R,185.0,,CZE
Jiri Novak,R,190.0,,CZE
Jiri Vanek,R,185.0,,CZE
Jiri Vesely,L,198.0,,CZE
Jo-Wilfried Tsonga,R,188.0,185.0,FRA
Joachim Johansson,R,198.0,,SWE
Joao Fonseca,R,185.0,,BRA
Joao Sousa,R,185.0,,POR
Joao Souza,R,193.0,,BRA
Jocelyn Robichaud,R,,,CAN
Joern Renzenbrink,R,196.0,,GER
Joey Rive,L,185.0,,USA
Johan Carlsson,R,183.0,,SWE
Johan Kriek,R,175.0,,USA
Johan Van Herck,R,185.0,,BEL
John Fitzgerald,R,183.0,,AUS
